16664	16609	16630	16544
16764	16567	16589	16624
16757	16627	16589	16607
16667	16622	16636	16629
16724	16656	16716	16813
16885	16677	16662	16685
16915	16754	16756	16795
16948	16832	16788	16771
16890	16799	16801	16845
16843	16769	16843	16770
16894	16817	16878	16875
17033	16868	16912	16912
17075	16902	16910	16971
17056	16986	17053	16998
17148	17056	16991	16977
17213	17055	17003	17065
17213	17140	17172	17168
17229	17112	17107	17060
17260	17153	17146	17259
17272	17188	17177	17268
17303	17160	17078	17124
17356	17199	17091	17104
17397	17114	17109	17242
17322	17213	17188	17225
17373	17250	17256	17312
17412	17318	17268	17297
17337	17209	17293	17308
17368	17259	17336	17330
17578	17379	17293	17251
17405	17334	17330	17346
17374	17268	17334	17336
17547	17352	17327	17487
17517	17288	17287	17490
17530	17387	17311	17371
17558	17411	17389	17407
17636	17510	17443	17450
17617	17470	17500	17542
17559	17461	17448	17478
17638	17493	17511	17569
17654	17570	17540	17523
17701	17600	17532	17568
17714	17641	17583	17583
17766	17592	17634	17655
17682	17601	17591	17695
17755	17681	17644	17687
17776	17629	17727	17760
17790	17679	17680	17706
17838	17792	17843	17811
17886	17777	17813	17811
17921	17790	17853	17850
17995	17920	17913	17891
18183	17929	17878	17881
18089	17906	17894	17974
18081	18033	18013	17970
18099	17969	17943	18082
18227	18021	18017	18014
18241	18134	18026	18054
18220	18015	18007	18017
18193	18083	18109	18079
18272	18137	18175	18186
18181	18118	18162	18130
18243	18124	18115	18178
18221	18112	18123	18148
18316	18212	18184	18245
18197	18130	18114	18086
18305	18195	18178	18142
18233	18133	18139	18198
18214	18111	18127	18168
18174	18075	18080	18099
18206	18136	18124	18060
18050	17966	18058	18164
18177	18067	18137	18133
18230	18150	18102	18122
18076	18021	18113	18181
18182	18049	18081	18125
18222	18056	18098	18157
18167	18083	18211	18204
18190	18140	18194	18127
18264	18126	18108	18207
18290	18125	18116	18160
18205	18068	18013	18137
18077	18023	18100	18096
18258	18159	18118	18070
18300	18142	18134	18104
18285	18068	17981	18027
18241	18072	18054	18196
18296	18170	18131	18076
18193	18128	18174	18180
18367	18187	18123	18138
18271	18180	18104	18187
18301	18140	18229	18311
18366	18237	18239	18344
18304	18202	18207	18306
18537	18361	18354	18264
18409	18272	18267	18317
18549	18489	18389	18360
18470	18364	18343	18332
18478	18359	18425	18513
18636	18475	18495	18455
18594	18473	18442	18441
18548	18473	18522	18557
18657	18562	18543	18521
18718	18572	18489	18560
18855	18523	18527	18621
18648	18621	18652	18615
18741	18656	18556	18585
18657	18544	18594	18590
18798	18647	18673	18722
18840	18675	18647	18632
18763	18558	18540	18607
18741	18641	18667	18661
18645	18550	18573	18638
18837	18674	18641	18641
18726	18658	18667	18640
18689	18582	18621	18667
18641	18557	18513	18607
18663	18526	18572	18378
18670	18512	18468	18561
18753	18558	18556	18598
18674	18573	18525	18618
18723	18633	18536	18504
18715	18580	18573	18610
18712	18641	18597	18516
18711	18596	18574	18578
18714	18575	18545	18555
18669	18626	18603	18644
18672	18593	18627	18694
18819	18632	18670	18715
18811	18743	18708	18734
18841	18688	18690	18744
18934	18724	18704	18831
18890	18774	18825	18746
18875	18800	18808	18791
18947	18810	18741	18749
18921	18842	18850	18818
18906	18777	18749	18895
18970	18868	18809	18832
18944	18821	18817	18818
19011	18795	18723	18858
19064	18910	18891	18929
18945	18869	18914	18918
19063	18949	18961	18890
19145	19021	18972	18976
19129	18936	18928	18962
18992	18914	18977	19016
19069	18955	18955	18997
19183	18998	18956	19062
19237	19111	19127	19056
19210	19094	19039	19104
19129	19060	19072	19096
19312	19168	19149	19135
19286	19185	19168	19173
19284	19152	19190	19231
19319	19218	19205	19159
19267	19052	19051	19189
19352	19100	19041	19162
19369	19273	19250	19128
19444	19316	19174	19053
19244	19140	19190	19162
19350	19146	19196	19180
19422	19272	19224	19277
19266	19162	19217	19208
19279	19103	19067	19194
19286	19222	19118	19086
19186	19143	19239	19194
19212	19111	19185	19085
19272	19162	19111	19150
19277	19206	19091	19087
19350	19247	19145	19094
19256	19133	19094	19159
19239	19162	19194	19259
19236	19128	19155	19224
19292	19122	19168	19246
19366	19249	19233	19313
19466	19373	19264	19282
19438	19331	19314	19313
19463	19296	19307	19342
19376	19250	19237	19253
19438	19394	19495	19457
19542	19409	19362	19412
19472	19382	19353	19459
19502	19419	19431	19332
19538	19432	19477	19520
19590	19494	19544	19507
19648	19534	19487	19517
19481	19429	19542	19497
